Classification,State,Country_Area,Posted_Citations,Project_Area,Product_Type,Fiscal_Year
Terminated,MN,United States,Voluntary: Firm initiated,Market Pantry Vanilla Ice Cream 128oz    UPC: 85239014943    Target item number: 288-7-307,Food,2018
Terminated,MI,United States,Voluntary: Firm initiated,"Golden delicious whole fresh apples,   Apple Ridge 5lb, 2-3/4  apples, packaged in red net mesh bags  ""	3lb, 2-1/2  apples, packaged in poly bags  ""	2lb, 2-1/2  apples, packaged in poly bags  ""	45ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays with re-useable plastic container boxes  ""	55ct, individual apples on trays with re-useable plastic container boxes  ""	60ct  individual apples on trays with re-useable plastic container boxes  ""	78ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays in cardboard tray  boxes  ""	55ct, individual apples on trays in cardboard tray  boxes",Food,2018
Terminated,WY,United States,Voluntary: Firm initiated,"Honey Caramels Blue Raspberry. Product available in 5.87 oz. bag, 1 lb. bag, 3 lb. bag, 6 lb. bag. PLU Code for 5.87 oz. bag: 788394 12675 8.",Food,2022
Ongoing,IA,United States,Voluntary: Firm initiated,"1. Palmer Candy Drizzled Caramel Corn, Item 19271, Net Wt. 16/5oz tubs, UPC 77343 19271 2. Meijer Drizzled Caramel Popcorn Snack Bowl, Net Wt. 12oz, UPC 60236 18830, 8/12oz case",Food,2024
Terminated,KS,United States,Voluntary: Firm initiated,"Grape Fanta, Grape Flavored Soda, 12 oz (355 mL) cans, packed in 12 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA",Food,2018
Terminated,,Israel,Voluntary: Firm initiated,ELITE MILK CHOCOLATE COATED RICE CAKES  UPC:815871011884	NET WT 2.47OZ (70 g),Food,2022
Ongoing,AZ,United States,Voluntary: Firm initiated,"H&NATURAL 2 PACK! BRAZIL SEED 60 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 60 DAYS, 5 GRAMS PER BOX, 2 BLACK BOXES.",Food,2024
Terminated,HI,United States,Voluntary: Firm initiated,"Tiny Isle Chocolate Truffles Macadamia Nut: Gluten Free, Raw, Vegan; individual 1 oz. candies,    Tiny Isle  5915 Olohena Road, Unit H  Kapaa, HI 96746",Food,2014
Terminated,OH,United States,Voluntary: Firm initiated,"San Marco Premium Dough on Parchment: packaged as 8in, 14in",Food,2023
Terminated,CA,United States,Voluntary: Firm initiated,foxy's california pistachio  1 Pint,Food,2017
Terminated,CA,United States,Voluntary: Firm initiated,"Trader Joe's First Crush Unsweetened Gravenstein Apple Sauce;   24 oz. glass jar.  Best Before date stamped on top of lid.    UPC:00015905     Distributed by Trader Joe's, Monrovia, CA",Food,2017
Terminated,CA,United States,Voluntary: Firm initiated,EST -700 Calcium,Food,2015
Terminated,MI,United States,Voluntary: Firm initiated,"Red Tart Pitted Cherries, Straight Packed (No Sugar),  5 lbs. bulk pails, 30 lbs, in bulk pails",Food,2015
Terminated,VA,United States,Voluntary: Firm initiated,"Sabra Classic Hummus, 17oz Six Pack UPC 040822017497 / 301290  Sabra Dipping Co. LLC, White Plains, NY",Food,2015
Terminated,TX,United States,Voluntary: Firm initiated,Blue Bell Ice Cream Blueberry Cheesecake Still a 1/2 Gal (2 QTS),Food,2015
Terminated,CA,United States,Voluntary: Firm initiated,Integrated Food Service  Turkey Breast & Cheese Sandwich  on a Whole Grain French Roll  Code #C16001/160001,Food,2016
Terminated,FL,United States,Voluntary: Firm initiated,"Vanilla Bean Ice Cream, 3 gallons",Food,2018
Terminated,FL,United States,Voluntary: Firm initiated,Publix 7 inch Cookies Cream Layer Cake  Scale ID Number * 002-16466-00000 *The last five digits of the scale ID number contain the unit price. For example $4.99 would have the last five digits ending 00499.,Food,2013
Terminated,MS,United States,Voluntary: Firm initiated,"Southern Sisters Gourmet Cheddar Garlic Biscuits, Net Wt 16 oz (453.6 g)",Food,2020
Terminated,MD,United States,Voluntary: Firm initiated,"Marco Turkish Mocha Ice Cream 16 fl oz/1 pint, UPC 860001992885. Packaged in paper containers, 8 containers per case.",Food,2024
Terminated,WA,United States,Voluntary: Firm initiated,"Stir Fry Kit,  Alaska Carrot, 1 x 11 lb. per case, UPC 45009 85749 1    The ingredient: Green cabbage, yellow onion, broccoli florette, carrot plugs.",Food,2017
Terminated,FL,United States,Voluntary: Firm initiated,"JY Spiderman Ice Cream, 3 gallons",Food,2018
Terminated,CA,United States,Voluntary: Firm initiated,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",Food,2014
Terminated,WA,United States,Voluntary: Firm initiated,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",Food,2015
Terminated,PA,United States,Voluntary: Firm initiated,"individual 2 oz chocolate macaroons packaged in plastic wrapper labeled as "" Jennies DUTCH CHOCOLATE MACAROON, 2 oz. Red Mill Farms, Inc., Brooklyn, NY"".",Food,2013
Terminated,MI,United States,Voluntary: Firm initiated,"1.5 oz PEANUT BUTTER COOKIES, 80/case",Food,2016
Terminated,MN,United States,Voluntary: Firm initiated,"SYSCO Imperial	6520795	1/5# FRUIT MIX CHUNKS 3/4""	130249 & 130250	BEST BY 9/15/12 & 9/16/12, UPC# 1007 4865393314.",Food,2012
Terminated,NY,United States,Voluntary: Firm initiated,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",Food,2018
Terminated,NY,United States,Voluntary: Firm initiated,"UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.",Food,2013
Terminated,MD,United States,Voluntary: Firm initiated,MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,Food,2023
Terminated,OR,United States,Voluntary: Firm initiated,"Tuna Salad, Formula PT.60 packaged under these labels:    -Essentail Everyday Tuna Salad packaged in 6/12-oz (UPC 041303820285) carton cases. Distributed by Supervalu Inc., Eden Prairie, MN.    -Reser's Gourmet Tuna Salad packaged in 2/5-lb carton cases.  Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117855067",Food,2014
Terminated,CA,United States,Voluntary: Firm initiated,"CST Roma Tomatoes Whole Roma 1/25#  Origin: USA  Keep Refrigerated   UPC: 40000356942  Taylor Farms, Pacific, Tracy, CA 95376",Food,2014
Terminated,KS,United States,Voluntary: Firm initiated,"Grindsted Sweetlife CINN. Roll BAS Stabilizer & Emulsifier System, 22.68 kg/ 50 lb bag",Food,2024
Terminated,IL,United States,Voluntary: Firm initiated,"A96555, PREDUST X2, NET WT 50 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Food,2017
Terminated,PR,United States,Voluntary: Firm initiated,"""Alcapurria Jueyes"" (Crab-filled fritters) - Food Service",Food,2012
Terminated,KS,United States,Voluntary: Firm initiated,"POTATO RUSSET QUARTERED 2/10# (01)10886810715115(10)0016086772 71511 Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Ingredients: Potato, Sodium Metabisulfite",Food,2022
Terminated,NY,United States,Voluntary: Firm initiated,"JOY GOL-GAPPA (PANI PURI) MASALA CONCENTRATE, NET WT 8 OZ (228g), UPC: 6 80617 60414 5",Food,2019
Terminated,MI,United States,Voluntary: Firm initiated,Dark Chocolate Almond Bark 5oz &1lb Clear plastic tubs,Food,2017
Terminated,NJ,United States,Voluntary: Firm initiated,"POMEGRANATE DRINK  MIX.  Yoruk Prens Nar Net 400 g.  USA Distributor:  Ethnic Int. Holding Inc. 4 Corporate Drive, Cranbury, NJ 08512.  Tel. 609-395-8513.  Picture of pomegranate on label.",Food,2013
Terminated,KS,United States,Voluntary: Firm initiated,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",Food,2016
Terminated,MI,United States,Voluntary: Firm initiated,"Hot Pepper Cheese, forty-five 40 lb. blocks",Food,2016
Terminated,IA,United States,Voluntary: Firm initiated,"Cap'n Crunch's Peanut Butter Crunch Cereal packaged in 17.1 ounce and 16.5 ounce cardboard boxes. Distributed by The Quaker Oats Company, Chicago IL",Food,2018
Terminated,MA,United States,Voluntary: Firm initiated,"Rachael's brand and Big Y brand Protein Snack Packs; containing one hard boiled egg, diced roasted turkey, and roasted almonds; packaged in 6x6 plastic containers, Net. wt. 4.25 oz.",Food,2020
Terminated,IL,United States,Voluntary: Firm initiated,A53643	BREADER   X1	50.00	BAG,Food,2023
Ongoing,NH,United States,Voluntary: Firm initiated,New England Village Snacks The 19th Hole Snack Mix (5 oz. and 10 oz.),Food,2025
Terminated,MD,United States,Voluntary: Firm initiated,"Bistro To Go, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated",Food,2023
Terminated,TX,United States,Voluntary: Firm initiated,HSRG Cornmeal Breader NET WT 25 LB (11.33 kg),Food,2016
Terminated,OR,United States,Voluntary: Firm initiated,"Grizzlies Brand and Grizzlies Granolas Oregon Trail Mix consisting of chocolate chips, fruit, seeds, and nuts.      Product packaged in a cardboard box with a liner bag, net wt. 20 lbs., and was distributed to retailers for sale from their bulk bins.      The product's ingredients statement on the green label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, unsulphured peaches, sunflower seeds, raisins, cranberries (apple juice concentrate, sunflower oil)***"".    The product's ingredients statement on the ivory label is read ""***Semi-sweet chocolate chips (sugar, chocolate, cocoa butter, soy lecithin, vanilla), hazelnuts, almonds, walnuts, pumpkin seeds, sunflower seeds, raisins, cranberries (cranberries, apple juice, sunflower oil), Peaches, Raisins (Raisins, Sunflower Oil). No GMOs***"".",Food,2018
Terminated,FL,United States,Voluntary: Firm initiated,El Original pa' ya To Go by hot pandeyuca brand   Cheese Bread Pan de Queso Grande,Food,2014
Terminated,FL,United States,Voluntary: Firm initiated,"Samira Food Products Vegeterian 100% Soy Chunk, Net Wt. 8oz",Food,2019
Terminated,CA,United States,Voluntary: Firm initiated,"El Campestre Brand Ceviche Mixto, 2/5 lbs bulk containers into 1/10lbs carton.  Packaged in 2/5lbs white plastic buckets with lid and handle, into 1/10lbs carton.    Labeling reads in part:""CEVICHE MIXTO***NET WT..10 LBS***DIST.BY EL CAMPESTRE DIST TEL (562) 505-7247***"".",Food,2013
Terminated,IL,United States,Voluntary: Firm initiated,"UPC  071725748010,	Sunflower Seeds Roasted and Salted, Best By/Date Code: 11/27/2016.    UPC  007172524140,	Amport Roasted and Salted Sunflower Seeds, Best By/Date Code:11/26/2016.    639277348319,Naturally Select  Roasted and Salted Sunflower Seed, Best By/Date Code: 3/1/2017.    UPC  071725241351,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/3/2016,12/26/2016, 12/12/2016 .    UPC 071725748010,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:12/31/2016,12/26/2016, 1/14/2017 .    UPC 071725241405,	Amport Foods Sunflower Seeds Roasted & Salted, Best By/Date Code:1/7/2017 .",Food,2016
Terminated,WI,United States,Voluntary: Firm initiated,"Garden-Fresh Anti Pasto Salad Kit,       Product Code  0 11596 65634 2 ,	1/6 lb",Food,2013
Terminated,CA,United States,Voluntary: Firm initiated,"Livia One Organic Daily Topical Spray Probiotics;   4 oz. (120 ml)  UPC: 0 30915 10710 5     Recommended use: Topical: Spray affected area 2-5 times daily as needed.     Ingredients: Proprietary probiotic blend in an enzyme enriched substrate:  Lactobacillus-Acidophilus, L. Rhamnosus, L-Salivarius, L. Casei, L-Plantarum, Lactococcus-Lactis, Streptocuccus-Thermophilus, Bifidobacterium-Bifidum, B-Lactus, B-Infantis, B-Breve, B-Longum.  Made with water and a proprietary blend of three organic grasses    Livia Global Inc., Visalia, CA.",Food,2021
Terminated,NJ,United States,Voluntary: Firm initiated,"Mama Tere Arepa de Blanca de Maiz White Corn Patty 14.1 oz/400g   5 units Product of Colombia Importado Por: Family Food Distributors, Inc. 969 Newark Turnpike, Kearny, NJ 07032  UPC 812828011676",Food,2014
Ongoing,SC,United States,Voluntary: Firm initiated,"GREY GHOST BAKERY scratch-made cookies LEMON SUGAR NET WT 1.4 OZ (40 G), UPC 8 53152 00308 1 , 4 OZ (113 G) UPC 8 53152 00332 6 & 8 OZ (225 G) UPC 8 53152 00307 4 GREY GHOST BAKERY 1750 SIGNAL POINT RD, STE 2A CHARLESTON, SC 29412",Food,2020
Terminated,AZ,United States,Voluntary: Firm initiated,"Woody's Smokehouse brand Yogurt Raisins, 12.3 oz. (348g), clear plastic bag with front and back labels, UPC 0 95248 65531 0. Packed especially for Woody's Smokehouse Inc., Centerville, TX 75833, 903-536-9663, Woody's-Smokehouse.com  Texas Best Smokehouse brand Yogurt Raisins, 8 oz. (226g), clear plastic bag with front and back labels, UPC 0 95248 32055 3. Packed especially for: Texas Best Smokehouse, 3302 S Eastman Rd., Longview TX 75602.  Snack-Worthy brand Yogurt Raisins, 10 oz. (283g), clear plastic tub with front and back labels, UPC 8 79114 00668 3. Distributed by Lehi Valley Trading Company, Mesa, AZ 85215 snackworthy.com.",Food,2022
Terminated,MI,United States,Voluntary: Firm initiated,Revolution Farms Zesty Southwest 6oz salad kit in plastic container UPC 856791008240,Food,2023
Terminated,MI,United States,Voluntary: Firm initiated,Kareem Chef Halva 1lb and 2lb sizes in plastic tub,Food,2021
Terminated,IL,United States,Voluntary: Firm initiated,Commercial Breader Batter;  B56666 BREADER   X1;       50 pound bag,Food,2019
Terminated,NY,United States,Voluntary: Firm initiated,"OSSIE'S PICKLED LOX & CREAM, NET WT. 8 OZ., UPC 739885104113; -- Far Rockaway, NY 11691 --- The product is packed in a plastic deli tub.",Food,2016
Terminated,IL,United States,Voluntary: Firm initiated,"Gourmet Cocoa Supreme, CP302141-12, NET WT. 12 LBS",Food,2017
Terminated,MI,United States,Voluntary: Firm initiated,"White Cheddar Cheese, 40 lb. blocks",Food,2016
Terminated,MI,United States,Voluntary: Firm initiated,#234 Bulk Watermelon	234	2.5 pounds  and #050 Watermelon Tray	16 ounces,Food,2012
Ongoing,,Canada,Voluntary: Firm initiated,1. Chocolate Drizzled Birthday Cake Granola Bars 	25.5oz (30 bars) 2. Chocolate Drizzled Birthday Cake Granola Bars	4.2oz (5 bars) 3. Chocolate Drizzled Birthday Cake Granola Bars	17oz (20 bars) 4. Chocolate Drizzled Birthday Cake Granola Bars 	8.5oz (10 bars) 5. Chocolate Drizzled Birthday Cake Granola Bars 	4.2oz (5 bars)  6. Chocolate Drizzled Birthday Cake Granola Bars 0.85oz,Food,2025
Terminated,IL,United States,Voluntary: Firm initiated,"B4016W, 910277 Breader, NET WT 40 LBS, Manufactured By:  Newly Weds Foods, Inc., Chicago, IL 60639",Food,2017
Terminated,MA,United States,Voluntary: Firm initiated,"DANNON OIKOS TRIPLE ZERO GREEK VANILLA - 5.3OZ/4PK, UPC: 3663201953",Food,2019
Terminated,AZ,United States,Voluntary: Firm initiated,"Kit item #30699-76, includes Mozzarella Sticks, 2.25 oz, 12bags/kit; Cheddar Bacon Skins, 3oz, 24 bags/kit; and Sour Cream & Onion Skins 3oz, 12bags/kit.    kit item#30679-11, 30679-12, and 30679-13, includes Mozzarella Sticks 2.25oz, 12bags/kit, Cheddar bacon skins 3oz, 24 bags/kit, and Sour Cream & Onion skins 3oz, 12bags/kit.    Kit Item#30845-A- Onion Ring Clip Strip, 2oz, 24 bag/clip strip.",Food,2012
Terminated,MO,United States,Voluntary: Firm initiated,"French's Crispy Jalapenos Net Wt. 5 oz. (141.7g), UPC 0 41500 95309 0, French's Food Company.",Food,2017
Terminated,TN,United States,Voluntary: Firm initiated,"Pictsweet(R) Seasoned Summer Vegetables, NET WT 12 OZ. (340g), DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38305, UPC 7056097622",Food,2016
Terminated,NY,United States,Voluntary: Firm initiated,EveryPlate Meal Kit Product Codes 81-82-84-90-92-95-98-99 from Production Week 32 (production week start date: 08/04/2021),Food,2021
Terminated,PA,United States,Voluntary: Firm initiated,"Luqman Cheese, White Cheddar, Net Wt. 8 oz.., Distributed by: Cumberland Valley Creamery, Mechanicsburg, PA",Food,2017
Terminated,MI,United States,Voluntary: Firm initiated,"Good Herbs, Inc., FLOWER ESSENCE WILD ROSE, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Food,2014
Terminated,WI,United States,Voluntary: Firm initiated,"Grandpas Artichoke Spinach Dip, Product Code 0 11596 55902 5,	1/5 lb;    Archer Farms Artichoke Spinach Dip, Product Code  0 85239 99015 5,	6/11 oz;  Archer Farms Artichoke Spinach Dip, Product Code 0 85239 69053 6,	4/18 oz;    Roundy's Artichoke Spinach Dip, Product Code  0 11596 06170 2,	6/12 oz",Food,2013
Terminated,MI,United States,Voluntary: Firm initiated,Garden Fresh Gourmet Nacho Cheese Tortilla Chips  14oz bags,Food,2012
Terminated,OH,United States,Voluntary: Firm initiated,GRANDE     1.5OZ FRESH BOCCONCINI MOZZ 1/3#         SUPC/ITEM # 19132P,Food,2024
Terminated,OR,United States,Voluntary: Firm initiated,"Reser's Tuna Salad Supreme, Formula PT.137 packaged in 2/5-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117141382",Food,2014
Terminated,OR,United States,Voluntary: Firm initiated,"Phenol Assist, Kirkman brand, Item # 0835-090",Food,2014
Terminated,GA,United States,Voluntary: Firm initiated,"MINI DEEP DISH MUSHROOM PIZZA, 200 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",Food,2016
Terminated,OR,United States,Voluntary: Firm initiated,"Oregano, Mediterranean ground, stock code 03355, packaged in 0.2 lb., .75 lb., 0.8 lb., 1 lb., 4 lbs., 10 lbs., 15 lbs., 25 lbs., or 50 lbs. container.    The UPC for 50 lbs. container is 0 23605 03355 6.",Food,2015
Terminated,PA,United States,Voluntary: Firm initiated,"Blue Ridge Farms Macaroni Salad; 05021  Net Weight: 1 X 10 LB., Keep Refrigerated; Use by: 03/14/16; Lot # 430;   Packed by Winter Gardens Quality Foods, Inc, New Oxford, PA 17350",Food,2016
Terminated,NC,United States,Voluntary: Firm initiated,"Dark Chocolate Pecans Net Wt. 7 oz, Farrell Farms, 200 Gin Road, Goldsboro, NC",Food,2018
Terminated,WI,United States,Voluntary: Firm initiated,"Finest Traditions Garden Vegetable Spaghetti, Product Code 10 733147 10196 1,	1/8 lb",Food,2013
Terminated,CA,United States,Voluntary: Firm initiated,Cashew Clusters 32 oz,Food,2017
Terminated,MI,United States,Voluntary: Firm initiated,"Devils Food Sheet Cake 8x12 Mega   28.125 lb case 20, 2  2.5oz cakes per case",Food,2016
Terminated,MN,United States,Voluntary: Firm initiated,Eggo Homestyle Waffles 24ct 29.6oz    UPC: 38000402807    Target item number: 270-5-49,Food,2018
Terminated,NM,United States,Voluntary: Firm initiated,"Cadia All Natural Creamy Peanut Butter No Stir, 18 oz, UPC 815369010993.",Food,2012
Terminated,OR,United States,Voluntary: Firm initiated,"Fudge Brownie Cookie, net wt. 2 oz.  The product was distributed frozen and has a 5-day shelf life after being defrosted at the stores.    The label is read in parts: ""***Fudge Brownie Cookie*** Ingredients:  Evaporated cane juice, sunflower oil, almond milk, cocoa powder, chocolate chips, sorhgum flour, tapioca flour, flax meal, vanilla, baking powder, salt***Gluten-Free ***Vegan Foods ***Made by: Whole Flower Farms 29190 hwy 34 Corvallis, OR***"".",Food,2019
Terminated,NJ,United States,Voluntary: Firm initiated,Clio No Added Sugar Yogurt Bar Mixed Berry / Peach  50g x 16 (12pc tray). UPC Code: 854021008220,Food,2021
Terminated,TX,United States,Voluntary: Firm initiated,Blue Bell Ice Cream Chocolate Chip 3 Gallon,Food,2015
Terminated,NJ,United States,Voluntary: Firm initiated,Name: Trader Joe s Chocolate Chip Cookies SKU 68075  Net Weight: 12 oz. (340g)  Number of units per package: 16 cookies  Package type: Kraft paper bag,Food,2018
Terminated,MN,United States,Voluntary: Firm initiated,"Veggie Pizza Mix, 2.5 lbs, packaged with a small generic white label on a plastic bag for foodservice use.  Contains broccoli florets, cauliflower florets and diced carrots.  Mix meant for putting on flat bread as RTE.",Food,2019
Terminated,GA,United States,Voluntary: Firm initiated,"Epi breads, 12"" French Sub-roll, 36 count per case, Epi breads, 12"" Unsliced French Hoagie, 45 count per case, and 7.75"" French Hoagie, 48 count per case per case, Lavoi Corporation, EPI Breads, 4710 West Ledbetter, Dallas, TX 75236",Food,2015
Terminated,IA,United States,Voluntary: Firm initiated,"Jolly Time Microwave popcorn, Extra Butter, 3/3-oz bags/carton. The cartons are packaged 12-cartons/case. Individual carton - UPC 028190008477, on the 12 count case - UPC 10028190008474 and 48 ct shipper with UPC 128190488474    American Pop Corn Company, Sioux City, IA.",Food,2014
Terminated,NY,United States,Voluntary: Firm initiated,"Refrigerated, ready-to-eat BAKED KIPPERED SALMON, in 8 oz. vacuum packages, UPC 0200000615659 -- KEEP REFRIGERATED 38 DEGREES or Below --- THE SMOKEHOUSE OF NY , MAMARONECK , NY 10543",Food,2017
Terminated,ND,United States,Voluntary: Firm initiated,"40632,  SPECIALTY GRANNY GRAINS BLEND ( WHEAT BRAN, WHEAT, OATS , BARLEY, RYE),  DAKOTA SPECIALTY MILLING, INC., FARGO, ND ,  19 Net WT 40 LBS.",Food,2013
Terminated,WI,United States,Voluntary: Firm initiated,"Springside Cheese, Cranberry Monterey Jack  Cheese,  55-0172,  V3, August 28, 2012,",Food,2012
Terminated,NY,United States,Voluntary: Firm initiated,Maca,Food,2016
Terminated,FL,United States,Voluntary: Firm initiated,"Little Salad Bar Garden, 12 oz, UPC 4099100082975, Iceberg lettuce, carrots & red cabbage",Food,2020
Terminated,MD,United States,Voluntary: Firm initiated,"CANDY DESSERT SHELL VANILLA PANIBOIS, 17 Ounce",Food,2018
Terminated,MN,United States,Voluntary: Firm initiated,"Peanut Butter sold under the following sizes, brands: HONEY CRUNCHY (55204) Peanut Butter in 16 oz tubs with snap on lid.",Food,2014
Terminated,NY,United States,Voluntary: Firm initiated,"National Heartland Naturals Premium Quality Pearl Barley  32 oz Plastic Bag, UPC 707966600083",Food,2019
Terminated,WA,United States,Voluntary: Firm initiated,"Guava Sorbet, sold under Snoqualmie brand.  Product is sold in 3 gallon plastic tubs. No UPC.",Food,2015
Terminated,MI,United States,Voluntary: Firm initiated,"Good Herbs, Inc., SAW PALMETTO, 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Food,2014
Terminated,IL,United States,Voluntary: Firm initiated,"B93756, BREADER X1@, NET WT 40 LBS, Manufactured By: Newly Weds Foods, Inc., Chicago, IL 60639",Food,2017
Terminated,MA,United States,Voluntary: Firm initiated,"CHOBANI KEY LIME BLENDED LOW FAT GREEK YOGURT - 5.3OZ, UPC:1829001271",Food,2019
Terminated,CT,United States,Voluntary: Firm initiated,FISH FAMILY FARM INC. & & Shadow Valley Farm brand CHOCOLATE MILK GRADE A PASTEURIZED HOMOGENIZED in a glass half-gallon container,Food,2014
Terminated,TN,United States,Voluntary: Firm initiated,"Frozen chopped onions labeled as:    a) Kroger(R) CHOPPED ONIONS, RECIPE BEGINNINGS(R), NET WT 12 OZ (340g), UPC 11110 89791, DISTRIBUTED BY THE KROGER COMPANY, CINCINNATI, OH 45202    b) PICTSWEET(R) Chopped Onions, recipe helper, NET WT 10 OZ (283g), UPC 70560 96609, DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38006",Food,2016
Completed,NY,United States,Voluntary: Firm initiated,Spice Class brand Ground Cinnamon packed in 7oz and 11oz PET jars,Food,2024
Terminated,IL,United States,Voluntary: Firm initiated,"The product is packaged in a white plastic bottle with green lettering. The label reads in part ""LIFE RISING DHZC-2, blood circulation regulator (lower abdomen), Chinese Herbal Supplement, 60 tablets, life rising to higher well being"", UPC: 616042102727",Food,2017
Terminated,CA,United States,Voluntary: Firm initiated,"Cross Valley Farms 4/5 LB CTN FRESH 1/8"" SLIVERED YELLOW ONIONS W/ZIPPER",Food,2023
Terminated,CA,United States,Voluntary: Firm initiated,"Poco Dolce Bittersweet Chocolate:  Ginger Tile, sea salt topped;  0.6 oz (17 grams)  San Francisco CA.  Ingredients:  Bittersweet Chocolate (Chocolate Liquor, Sugar, Cocoa Butter, Butter, Soy Lecithin, Pure Vanilla) Ginger, Sugar, Grey Sea Salt. May contain traces of peanuts, tree nuts or milk proteins.",Food,2015
Terminated,WI,United States,Voluntary: Firm initiated,"Filled Long Johns 9999954006,  540062, 28 per bulk tote.",Food,2016
Terminated,FL,United States,Voluntary: Firm initiated,"Smoked Mahi Dip, Net Wt. 8oz and 48oz",Food,2023
Terminated,IL,United States,Voluntary: Firm initiated,"Newly Weds B70731 bread crumbs X1, 25lbs bag",Food,2021
Terminated,IL,United States,Voluntary: Firm initiated,"Newly Weds B70709 breader crumbs X3, 40lbs bag",Food,2021
